Unnamed: 0,Income,Lot_Size,Ownership
5.23,87.0,23.6,owner
3.31,64.8,21.6,owner
13.41,75.0,19.6,non-owner
1.42,60.0,18.4,owner
13.42,75.0,19.6,non-owner
21.41,47.4,16.4,non-owner
21.42,47.4,16.4,non-owner
7.45,108.0,17.6,owner
10.33,93.0,20.8,owner
9.36,69.0,20.0,owner
20.39,66.0,18.4,non-owner
21.43,47.4,16.4,non-owner
13.43,75.0,19.6,non-owner
11.32,51.0,22.0,owner
22.37,33.0,18.8,non-owner
1.43,60.0,18.4,owner
9.37,69.0,20.0,owner
15.34,64.8,17.2,non-owner
22.38,33.0,18.8,non-owner
23.3,51.0,14.0,non-owner
7.46,108.0,17.6,owner
13.44,75.0,19.6,non-owner
20.4,66.0,18.4,non-owner
3.32,64.8,21.6,owner
23.31,51.0,14.0,non-owner
13.45,75.0,19.6,non-owner
3.33,64.8,21.6,owner
9.38,69.0,20.0,owner
21.44,47.4,16.4,non-owner
21.45,47.4,16.4,non-owner
23.32,51.0,14.0,non-owner
23.33,51.0,14.0,non-owner
11.33,51.0,22.0,owner
7.47,108.0,17.6,owner
9.39,69.0,20.0,owner
9.4,69.0,20.0,owner
3.34,64.8,21.6,owner
18.47,49.2,17.6,non-owner
8.34,82.8,22.4,owner
2.36,85.5,16.8,owner
10.34,93.0,20.8,owner
16.33,43.2,20.4,non-owner
24.29,63.0,14.8,non-owner
16.34,43.2,20.4,non-owner
16.35,43.2,20.4,non-owner
11.34,51.0,22.0,owner
8.35,82.8,22.4,owner
19.29,59.4,16.0,non-owner
3.35,64.8,21.6,owner
5.24,87.0,23.6,owner
20.41,66.0,18.4,non-owner
20.42,66.0,18.4,non-owner
17.47,84.0,17.6,non-owner
13.46,75.0,19.6,non-owner
6.33,110.1,19.2,owner
7.48,108.0,17.6,owner
8.36,82.8,22.4,owner
1.44,60.0,18.4,owner
20.43,66.0,18.4,non-owner
17.48,84.0,17.6,non-owner
16.36,43.2,20.4,non-owner
11.35,51.0,22.0,owner
23.34,51.0,14.0,non-owner
10.35,93.0,20.8,owner
22.39,33.0,18.8,non-owner
18.48,49.2,17.6,non-owner
21.46,47.4,16.4,non-owner
11.36,51.0,22.0,owner
20.44,66.0,18.4,non-owner
6.34,110.1,19.2,owner
24.3,63.0,14.8,non-owner
12.41,81.0,20.0,owner
16.37,43.2,20.4,non-owner
16.38,43.2,20.4,non-owner
23.35,51.0,14.0,non-owner
22.4,33.0,18.8,non-owner
6.35,110.1,19.2,owner
13.47,75.0,19.6,non-owner
9.41,69.0,20.0,owner
17.49,84.0,17.6,non-owner
8.37,82.8,22.4,owner
10.36,93.0,20.8,owner
19.3,59.4,16.0,non-owner
3.36,64.8,21.6,owner
7.49,108.0,17.6,owner
1.45,60.0,18.4,owner
23.36,51.0,14.0,non-owner
13.48,75.0,19.6,non-owner
13.49,75.0,19.6,non-owner
24.31,63.0,14.8,non-owner
20.45,66.0,18.4,non-owner
13.5,75.0,19.6,non-owner
8.38,82.8,22.4,owner
3.37,64.8,21.6,owner
23.37,51.0,14.0,non-owner
15.35,64.8,17.2,non-owner
22.41,33.0,18.8,non-owner
10.37,93.0,20.8,owner
6.36,110.1,19.2,owner
19.31,59.4,16.0,non-owner
14.36,52.8,20.8,non-owner
22.42,33.0,18.8,non-owner
16.39,43.2,20.4,non-owner
22.43,33.0,18.8,non-owner
23.38,51.0,14.0,non-owner
7.5,108.0,17.6,owner
19.32,59.4,16.0,non-owner
9.42,69.0,20.0,owner
1.46,60.0,18.4,owner
13.51,75.0,19.6,non-owner
18.49,49.2,17.6,non-owner
12.42,81.0,20.0,owner
8.39,82.8,22.4,owner
7.51,108.0,17.6,owner
14.37,52.8,20.8,non-owner
24.32,63.0,14.8,non-owner
1.47,60.0,18.4,owner
15.36,64.8,17.2,non-owner
13.52,75.0,19.6,non-owner
8.4,82.8,22.4,owner
9.43,69.0,20.0,owner
17.5,84.0,17.6,non-owner
10.38,93.0,20.8,owner
9.44,69.0,20.0,owner
3.38,64.8,21.6,owner
11.37,51.0,22.0,owner
12.43,81.0,20.0,owner
3.39,64.8,21.6,owner
6.37,110.1,19.2,owner
